Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,metric,n_neighbors,weights,,std_test_score,std_train_score
4,1,0.533628013,1,euclidean,19,distance,,0.023145989,0
4,1,0.533628013,1,minkowski,19,distance,,0.023145989,0
4,3,0.532210024,1,euclidean,17,distance,,0.023500459,0
4,3,0.532210024,1,minkowski,17,distance,,0.023500459,0
4,5,0.529436606,1,chebyshev,19,distance,,0.026060576,0
4,6,0.52922255,1,manhattan,19,distance,,0.024520043,0
4,7,0.529154104,1,euclidean,15,distance,,0.021041801,0
4,7,0.529154104,1,minkowski,15,distance,,0.021041801,0
4,9,0.529107659,0.574993024,euclidean,19,uniform,,0.022696431,0.005320832
4,9,0.529107659,0.574993024,minkowski,19,uniform,,0.022696431,0.005320832
4,11,0.528267894,1,manhattan,17,distance,,0.023234631,0
4,12,0.528125443,1,chebyshev,17,distance,,0.025655504,0
4,13,0.528050188,1,euclidean,13,distance,,0.02560666,0
4,13,0.528050188,1,minkowski,13,distance,,0.02560666,0
4,15,0.527930374,1,chebyshev,13,distance,,0.027477289,0
4,16,0.527573962,0.580988032,euclidean,17,uniform,,0.023279784,0.005189596
4,16,0.527573962,0.580988032,minkowski,17,uniform,,0.023279784,0.005189596
4,18,0.526683215,1,chebyshev,15,distance,,0.025578261,0
4,19,0.526245294,1,manhattan,13,distance,,0.0214413,0
4,20,0.526053386,1,manhattan,15,distance,,0.021118469,0
4,21,0.525221838,1,euclidean,11,distance,,0.023754604,0
4,21,0.525221838,1,minkowski,11,distance,,0.023754604,0
4,23,0.524785284,0.571496777,manhattan,19,uniform,,0.025219911,0.006294459
4,24,0.524333733,0.587253662,euclidean,15,uniform,,0.020468103,0.004375482
4,24,0.524333733,0.587253662,minkowski,15,uniform,,0.020468103,0.004375482
4,26,0.524242703,0.576721893,manhattan,17,uniform,,0.023707005,0.006071093
4,27,0.524144377,0.569586605,chebyshev,19,uniform,,0.026342137,0.005722499
4,28,0.523974033,0.594432031,euclidean,13,uniform,,0.026461012,0.005644126
4,28,0.523974033,0.594432031,minkowski,13,uniform,,0.026461012,0.005644126
4,30,0.523905632,0.589681412,chebyshev,13,uniform,,0.027998971,0.005302231
4,31,0.523800772,1,chebyshev,11,distance,,0.024821915,0
4,32,0.523794916,1,manhattan,11,distance,,0.018016301,0
4,33,0.523054631,0.574821527,chebyshev,17,uniform,,0.025717656,0.005382194
4,34,0.522444104,0.592676334,manhattan,13,uniform,,0.021558771,0.005608766
4,35,0.521954944,1,euclidean,9,distance,,0.020693731,0
4,35,0.521954944,1,minkowski,9,distance,,0.020693731,0
4,37,0.521726135,0.581663463,chebyshev,15,uniform,,0.025721422,0.004644648
4,38,0.521609755,0.584280592,manhattan,15,uniform,,0.021178799,0.004919283
4,39,0.521307172,0.604795575,euclidean,11,uniform,,0.024189545,0.005677878
4,39,0.521307172,0.604795575,minkowski,11,uniform,,0.024189545,0.005677878
4,41,0.520683631,0.604164901,manhattan,11,uniform,,0.0168188,0.005727213
4,42,0.520449964,1,chebyshev,9,distance,,0.023429211,0
4,43,0.520410316,0.598659991,chebyshev,11,uniform,,0.024775306,0.006339004
4,44,0.520134062,1,manhattan,9,distance,,0.021094904,0
4,45,0.518614617,0.619542363,euclidean,9,uniform,,0.020535219,0.005913015
4,45,0.518614617,0.619542363,minkowski,9,uniform,,0.020535219,0.005913015
4,47,0.518148507,0.610878526,chebyshev,9,uniform,,0.02320078,0.007393535
4,48,0.517691148,0.618217628,manhattan,9,uniform,,0.02089119,0.003995294
4,49,0.517187434,1,euclidean,7,distance,,0.018364507,0
4,49,0.517187434,1,minkowski,7,distance,,0.018364507,0
4,51,0.515090012,0.640775174,euclidean,7,uniform,,0.017963932,0.005869505
4,51,0.515090012,0.640775174,minkowski,7,uniform,,0.017963932,0.005869505
4,53,0.514096676,1,manhattan,7,distance,,0.021592323,0
4,54,0.513273533,0.639985466,manhattan,7,uniform,,0.021079381,0.005944257
4,55,0.507369289,1,chebyshev,7,distance,,0.023814673,0
4,56,0.505064357,0.675464973,euclidean,5,uniform,,0.017781737,0.006025748
4,56,0.505064357,0.675464973,minkowski,5,uniform,,0.017781737,0.006025748
4,58,0.504562841,1,euclidean,5,distance,,0.017398159,0
4,58,0.504562841,1,minkowski,5,distance,,0.017398159,0
4,60,0.504306445,0.630008942,chebyshev,7,uniform,,0.02408786,0.006813247
4,61,0.495586331,1,manhattan,5,distance,,0.022679312,0
4,62,0.494706298,0.674245942,manhattan,5,uniform,,0.022797949,0.00693864
4,63,0.487156036,1,chebyshev,5,distance,,0.017850001,0
4,64,0.483907664,0.665368689,chebyshev,5,uniform,,0.017165581,0.007846792
4,65,0.462719538,0.730424303,euclidean,3,uniform,,0.017707652,0.003846143
4,65,0.462719538,0.730424303,minkowski,3,uniform,,0.017707652,0.003846143
4,67,0.460283742,1,euclidean,3,distance,,0.018349452,0
4,67,0.460283742,1,minkowski,3,distance,,0.018349452,0
4,69,0.453769302,0.734260249,manhattan,3,uniform,,0.023500572,0.00374379
4,70,0.450968038,1,manhattan,3,distance,,0.024124946,0
4,71,0.449612195,1,chebyshev,3,distance,,0.019871834,0
4,72,0.448285742,0.725426013,chebyshev,3,uniform,,0.017665243,0.009195732
4,73,0.39230435,0.803266286,manhattan,2,uniform,,0.022217327,0.001576641
4,74,0.390766809,1,manhattan,2,distance,,0.023927163,0
4,75,0.386466016,0.797644075,euclidean,2,uniform,,0.017517228,0.00500561
4,75,0.386466016,0.797644075,minkowski,2,uniform,,0.017517228,0.00500561
4,77,0.38474188,1,euclidean,2,distance,,0.017283377,0
4,77,0.38474188,1,minkowski,2,distance,,0.017283377,0
4,79,0.384673251,0.797850238,chebyshev,2,uniform,,0.022551981,0.00575094
4,80,0.382144891,1,chebyshev,2,distance,,0.022400734,0
4,81,0.212890644,1,manhattan,1,uniform,,0.024989225,0
4,81,0.212890644,1,manhattan,1,distance,,0.024989225,0
4,83,0.197486337,1,euclidean,1,uniform,,0.039098553,0
4,83,0.197486337,1,euclidean,1,distance,,0.039098553,0
4,83,0.197486337,1,minkowski,1,uniform,,0.039098553,0
4,83,0.197486337,1,minkowski,1,distance,,0.039098553,0
4,87,0.183525711,1,chebyshev,1,uniform,,0.052938693,0
4,87,0.183525711,1,chebyshev,1,distance,,0.052938693,0
