Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
1,1,0.579224057,0.596026279,0.01,2,0.7,polynomial,,0.007070515,0.001777858
1,2,0.579128087,0.596875821,0.01,2,0.9,polynomial,,0.00778005,0.001816524
1,3,0.579051316,0.595126735,0.03,2,1,polynomial,,0.006571864,0.001731796
1,4,0.579014459,0.597182056,0.01,2,1,polynomial,,0.008054322,0.00182789
1,5,0.578865445,0.594591335,0.03,2,0.9,polynomial,,0.006304254,0.001703947
1,6,0.578841423,0.594488851,0.01,2,0.5,polynomial,,0.00616888,0.001699556
1,7,0.578566211,0.614167715,0.03,,0.9,rbf,,0.006102201,0.002374077
1,8,0.578563542,0.616169786,0.03,,1,rbf,,0.006523944,0.002447043
1,9,0.578426064,0.593644232,0.05,2,1,polynomial,,0.006032576,0.001657452
1,10,0.578385176,0.61167423,0.05,,1,rbf,,0.006462992,0.00228868
1,11,0.578284872,0.609700698,0.03,,0.7,rbf,,0.005240237,0.002132388
1,12,0.57828195,0.609759534,0.05,,0.9,rbf,,0.006221607,0.002194994
1,13,0.578143663,0.59306005,0.03,2,0.7,polynomial,,0.005888197,0.001632496
1,14,0.578062108,0.592944953,0.05,2,0.9,polynomial,,0.005912364,0.001626887
1,15,0.577819004,0.608469743,0.07,,1,rbf,,0.006959453,0.002161382
1,16,0.577769146,0.605456089,0.05,,0.7,rbf,,0.00585675,0.001928284
1,17,0.577756903,0.592426539,0.07,2,1,polynomial,,0.005904493,0.001606257
1,18,0.577681764,0.604160616,0.03,,0.5,rbf,,0.004899437,0.001753258
1,19,0.577656823,0.606613909,0.07,,0.9,rbf,,0.006857774,0.002061546
1,20,0.577618503,0.603936569,0.01,,0.3,rbf,,0.004701571,0.001641208
1,21,0.577345539,0.611933749,0.01,,0.5,rbf,,0.005298023,0.002134327
1,22,0.577283721,0.591616672,0.07,2,0.9,polynomial,,0.005944873,0.001579907
1,23,0.577180723,0.617852384,0.01,,0.7,rbf,,0.006402738,0.002450008
1,24,0.577145843,0.605921714,0.09,,1,rbf,,0.007629223,0.00206301
1,25,0.577131223,0.591389529,0.09,2,1,polynomial,,0.005980564,0.001572879
1,26,0.57708725,0.622833899,0.01,,0.9,rbf,,0.0076604,0.002536522
1,27,0.577030844,0.602429763,0.07,,0.7,rbf,,0.006816658,0.001798777
1,28,0.576954888,0.604116571,0.09,,0.9,rbf,,0.007620269,0.001962892
1,29,0.576951999,0.625106212,0.01,,1,rbf,,0.008237729,0.002533201
1,30,0.57695089,0.590945379,0.01,2,0.3,polynomial,,0.00603683,0.001575299
1,31,0.576940931,0.591017783,0.05,2,0.7,polynomial,,0.006035653,0.001566985
1,32,0.576839224,0.590923194,0.1,2,1,polynomial,,0.006060079,0.0015615
1,33,0.576798939,0.604810655,0.1,,1,rbf,,0.00798042,0.002022711
1,34,0.576740746,0.600024604,0.05,,0.5,rbf,,0.006144345,0.001598075
