Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,activation,alpha,hidden_layer_sizes,learning_rate_init,solver,,std_test_score,std_train_score
4,1,0.583905121,0.597120345,logistic,0.001,"(3,)",0.001,lbfgs,,0.017420729,0.003070114
4,2,0.582009151,0.597570737,tanh,0.01,"(3,)",0.001,lbfgs,,0.015082699,0.005587442
4,3,0.581996175,0.593885881,logistic,0.0001,"(2,)",0.01,lbfgs,,0.012878842,0.003709207
4,4,0.581820397,0.593897002,tanh,0.001,"(2,)",0.001,lbfgs,,0.012821573,0.00371346
4,5,0.581766082,0.593907486,logistic,0.0001,"(2,)",0.1,lbfgs,,0.012854591,0.00371384
4,6,0.581642362,0.593912615,logistic,1.00E-05,"(2,)",0.001,lbfgs,,0.012782833,0.003706604
4,7,0.581607776,0.594294767,logistic,1.00E-05,"(2,)",0.1,lbfgs,,0.013000415,0.004116065
4,8,0.581539611,0.593858119,logistic,0.001,"(2,)",0.1,lbfgs,,0.012518505,0.003668953
4,9,0.581505448,0.598127591,logistic,0.001,"(3,)",0.1,lbfgs,,0.015670388,0.004141852
4,10,0.581458361,0.593844988,logistic,0.001,"(2,)",0.001,lbfgs,,0.012615931,0.003694174
4,11,0.580878321,0.597489847,tanh,0.001,"(3,)",0.01,lbfgs,,0.015997691,0.005364851
4,12,0.580670247,0.600606524,logistic,0.001,"(3,)",0.01,lbfgs,,0.01640427,0.004848648
4,13,0.580517195,0.593643601,logistic,0.01,"(2,)",0.001,lbfgs,,0.011991216,0.003639467
4,14,0.580308853,0.597987376,tanh,0.001,"(3,)",0.001,lbfgs,,0.018123805,0.005672216
4,15,0.579800296,0.593330469,tanh,0.1,"(2,)",0.01,lbfgs,,0.011405412,0.00361841
4,16,0.579392948,0.598780578,tanh,0.1,"(3,)",0.001,lbfgs,,0.014157915,0.00426467
4,17,0.578907987,0.594495553,tanh,0.01,"(2,)",0.01,lbfgs,,0.012382136,0.003574837
4,18,0.578867862,0.598176164,tanh,0.01,"(3,)",0.1,lbfgs,,0.015509856,0.004435204
4,19,0.578590671,0.589210092,logistic,0.0001,"(2,)",0.001,lbfgs,,0.013006273,0.011518163
4,20,0.578392888,0.589329393,tanh,0.0001,"(2,)",0.1,lbfgs,,0.008257715,0.012143194
4,21,0.578219329,0.592044888,tanh,0.01,"(2,)",0.1,lbfgs,,0.015922482,0.004391225
4,22,0.578127905,0.591874756,logistic,0.1,"(2,)",0.001,lbfgs,,0.011098391,0.003581838
4,23,0.578110478,0.591854955,logistic,0.1,"(2,)",0.01,lbfgs,,0.011180922,0.003591826
4,24,0.577607376,0.598519152,logistic,0.0001,"(3,)",0.1,lbfgs,,0.021553293,0.006613941
4,25,0.577289842,0.592169327,logistic,0.1,"(2,)",0.1,lbfgs,,0.011253326,0.003444463
4,26,0.577269576,0.598118442,logistic,1.00E-05,"(3,)",0.01,lbfgs,,0.018658979,0.005329587
4,27,0.576901779,0.598288939,tanh,0.0001,"(3,)",0.001,lbfgs,,0.01920464,0.005358083
4,28,0.576774428,0.600237148,logistic,0.0001,"(3,)",0.001,lbfgs,,0.020770752,0.005772967
4,29,0.576653281,0.596908491,logistic,0.1,"(3,)",0.01,lbfgs,,0.009893242,0.004197751
4,30,0.576208679,0.59864238,tanh,0.1,"(3,)",0.01,lbfgs,,0.018041096,0.004571624
4,31,0.57603467,0.599766986,logistic,1.00E-05,"(3,)",0.001,lbfgs,,0.021451015,0.005315998
4,32,0.575665512,0.599949917,logistic,0.0001,"(3,)",0.01,lbfgs,,0.016953508,0.004541118
4,33,0.575600036,0.598409969,tanh,0.1,"(3,)",0.1,lbfgs,,0.017262161,0.004699108
4,34,0.575451853,0.600623806,tanh,0.01,"(3,)",0.01,lbfgs,,0.019546981,0.005066224
4,35,0.575314615,0.597904248,logistic,0.01,"(3,)",0.001,lbfgs,,0.01504824,0.00463533
4,36,0.574801135,0.583652841,tanh,1.00E-05,"(2,)",0.001,lbfgs,,0.007465873,0.023430739
4,37,0.57466736,0.600148266,tanh,1.00E-05,"(3,)",0.01,lbfgs,,0.019317567,0.004977008
4,38,0.574582617,0.59991754,logistic,1.00E-05,"(3,)",0.1,lbfgs,,0.021895793,0.005013359
4,39,0.574521153,0.594968378,tanh,0.0001,"(3,)",0.01,lbfgs,,0.016531836,0.008951337
4,40,0.574155213,0.598081962,logistic,0.01,"(3,)",0.1,lbfgs,,0.006680511,0.003997299
4,41,0.574140456,0.597159672,logistic,0.1,"(3,)",0.1,lbfgs,,0.014061098,0.004367462
4,42,0.574028781,0.596694578,logistic,0.1,"(3,)",0.001,lbfgs,,0.013956894,0.004094849
4,43,0.574008338,0.583392841,logistic,0.01,"(2,)",0.01,lbfgs,,0.006638528,0.023291962
4,44,0.573937745,0.599040195,tanh,0.001,"(3,)",0.1,lbfgs,,0.016334755,0.005888198
4,45,0.573835942,0.599839404,tanh,1.00E-05,"(3,)",0.001,lbfgs,,0.016987421,0.004900938
4,46,0.573745238,0.589526575,logistic,0.01,"(2,)",0.1,lbfgs,,0.01966835,0.008249943
4,47,0.572559421,0.583915551,tanh,0.0001,"(2,)",0.001,lbfgs,,0.027117038,0.018569161
4,48,0.572350737,0.584151515,tanh,1.00E-05,"(2,)",0.1,lbfgs,,0.020976268,0.02149651
4,49,0.571909312,0.584086625,tanh,0.001,"(2,)",0.01,lbfgs,,0.021024111,0.021466416
4,50,0.571490331,0.584147913,tanh,0.001,"(2,)",0.1,lbfgs,,0.028034993,0.019179209
4,51,0.571068261,0.599475045,logistic,0.01,"(3,)",0.01,lbfgs,,0.010963806,0.00504349
4,52,0.570819859,0.584092654,logistic,0.001,"(2,)",0.01,lbfgs,,0.027500216,0.019145215
4,53,0.570621865,0.600337427,tanh,0.0001,"(3,)",0.1,lbfgs,,0.016635919,0.005183521
4,54,0.570289311,0.584310173,tanh,1.00E-05,"(2,)",0.01,lbfgs,,0.026265208,0.018731699
4,55,0.570095658,0.583826074,tanh,0.1,"(2,)",0.1,lbfgs,,0.025196788,0.018621619
4,56,0.566584843,0.582875743,logistic,1.00E-05,"(2,)",0.01,lbfgs,,0.020389413,0.01085434
4,57,0.565631438,0.573342459,logistic,1.00E-05,"(3,)",0.01,sgd,,0.024007596,0.005853049
4,58,0.565395578,0.571764793,logistic,0.01,"(3,)",0.01,sgd,,0.024355543,0.006820982
4,59,0.564522127,0.569997356,logistic,0.0001,"(3,)",0.01,sgd,,0.022534892,0.008189806
4,60,0.563885798,0.5851252,tanh,0.0001,"(2,)",0.01,lbfgs,,0.02987509,0.010018876
4,61,0.563494169,0.576095416,tanh,0.01,"(2,)",0.001,lbfgs,,0.031047497,0.020093025
4,62,0.5626689,0.570502431,logistic,0.001,"(3,)",0.01,sgd,,0.021755203,0.008251133
4,63,0.560714225,0.56501558,logistic,0.001,"(3,)",0.001,sgd,,0.025579278,0.006587964
4,64,0.558909162,0.5622451,logistic,1.00E-05,"(3,)",0.001,sgd,,0.023413777,0.009182019
